,날짜,종가,전일비,시가,고가,저가,거래량
57,2024.01.23,10180.0,510.0,9520.0,10530.0,9370.0,1251026.0
58,2024.01.22,9670.0,340.0,9300.0,9670.0,8900.0,487761.0
59,2024.01.19,9330.0,70.0,9500.0,9690.0,9170.0,261069.0
60,2024.01.18,9400.0,720.0,8540.0,9600.0,8540.0,553956.0
61,2024.01.17,8680.0,630.0,9310.0,9330.0,8580.0,333395.0
62,2024.01.16,9310.0,190.0,9450.0,9500.0,9100.0,291949.0
63,2024.01.15,9500.0,700.0,10000.0,10030.0,9480.0,377302.0
64,2024.01.12,10200.0,320.0,10110.0,10270.0,9700.0,642522.0
65,2024.01.11,9880.0,0.0,10030.0,10030.0,9590.0,261077.0
66,2024.01.10,9880.0,100.0,9840.0,10020.0,9420.0,594551.0
67,2024.01.09,9780.0,40.0,10000.0,10080.0,9580.0,594339.0
68,2024.01.08,9820.0,230.0,9750.0,10920.0,9410.0,2355527.0
69,2024.01.05,9590.0,160.0,9500.0,9590.0,9250.0,464058.0
70,2024.01.04,9430.0,520.0,9090.0,9970.0,8960.0,2063341.0
71,2024.01.03,8910.0,700.0,8280.0,9100.0,8280.0,1040864.0
72,2024.01.02,8210.0,100.0,8210.0,8300.0,8080.0,137146.0
73,2023.12.28,8310.0,150.0,8450.0,8720.0,8270.0,202562.0
74,2023.12.27,8460.0,140.0,8390.0,8570.0,8260.0,171632.0
75,2023.12.26,8320.0,100.0,8350.0,8800.0,8090.0,255280.0
76,2023.12.22,8420.0,210.0,8480.0,8610.0,8150.0,349106.0
77,2023.12.21,8630.0,660.0,8040.0,8930.0,7960.0,1179841.0
78,2023.12.20,7970.0,30.0,8080.0,8080.0,7840.0,164833.0
79,2023.12.19,8000.0,80.0,8020.0,8080.0,7900.0,75542.0
80,2023.12.18,7920.0,20.0,7970.0,7970.0,7700.0,71168.0
81,2023.12.15,7900.0,60.0,7990.0,8070.0,7860.0,78577.0
82,2023.12.14,7960.0,220.0,8220.0,8540.0,7840.0,352988.0
83,2023.12.13,8180.0,550.0,8750.0,8760.0,8060.0,293778.0
84,2023.12.12,8730.0,70.0,8670.0,8790.0,8550.0,117085.0
85,2023.12.11,8660.0,220.0,8960.0,9020.0,8600.0,168463.0
86,2023.12.08,8880.0,300.0,9230.0,9340.0,8830.0,401593.0
87,2023.12.07,9180.0,580.0,8600.0,9300.0,8440.0,748702.0
88,2023.12.06,8600.0,330.0,8230.0,8830.0,8230.0,366442.0
89,2023.12.05,8270.0,120.0,8390.0,8480.0,8210.0,101928.0
90,2023.12.04,8390.0,10.0,8600.0,8690.0,8200.0,178612.0
91,2023.12.01,8400.0,30.0,8370.0,8700.0,8220.0,184420.0
92,2023.11.30,8370.0,100.0,8450.0,8450.0,8200.0,109665.0
93,2023.11.29,8470.0,320.0,8770.0,8770.0,8260.0,224060.0
94,2023.11.28,8790.0,590.0,8280.0,8990.0,8200.0,719231.0
95,2023.11.27,8200.0,330.0,8530.0,8530.0,8110.0,126595.0
96,2023.11.24,8530.0,0.0,8710.0,8820.0,8490.0,211679.0
97,2023.11.23,8530.0,240.0,8320.0,8730.0,8250.0,296134.0
98,2023.11.22,8290.0,80.0,8650.0,8880.0,8230.0,841360.0
99,2023.11.21,8210.0,40.0,8310.0,8840.0,8100.0,510076.0
100,2023.11.20,8250.0,340.0,7930.0,8330.0,7810.0,170815.0
101,2023.11.17,7910.0,230.0,8360.0,8360.0,7880.0,221995.0
102,2023.11.16,8140.0,240.0,7930.0,8230.0,7750.0,124030.0
103,2023.11.15,7900.0,190.0,7750.0,7990.0,7660.0,125452.0
104,2023.11.14,7710.0,400.0,7370.0,8100.0,7350.0,316139.0
105,2023.11.13,7310.0,340.0,7720.0,7800.0,7310.0,159334.0
106,2023.11.10,7650.0,650.0,8100.0,8180.0,7550.0,288859.0
107,2023.11.09,8300.0,130.0,8630.0,8700.0,8150.0,304172.0
108,2023.11.08,8430.0,770.0,7820.0,8500.0,7820.0,539742.0
109,2023.11.07,7660.0,10.0,7670.0,7760.0,7340.0,213940.0
110,2023.11.06,7670.0,670.0,7160.0,8130.0,7050.0,944573.0
111,2023.11.03,7000.0,390.0,7410.0,7600.0,6980.0,293406.0
112,2023.11.02,7390.0,0.0,7730.0,7750.0,7300.0,140092.0
113,2023.11.01,7390.0,290.0,7200.0,7620.0,7110.0,133372.0
114,2023.10.31,7100.0,100.0,7020.0,7200.0,6880.0,112973.0
115,2023.10.30,7000.0,260.0,6740.0,7210.0,6730.0,204402.0
116,2023.10.27,6740.0,200.0,6520.0,6960.0,6400.0,130320.0
117,2023.10.26,6540.0,220.0,6600.0,6700.0,6430.0,155116.0
118,2023.10.25,6760.0,180.0,7000.0,7020.0,6610.0,173692.0
119,2023.10.24,6940.0,150.0,6800.0,7060.0,6480.0,269083.0
120,2023.10.23,6790.0,330.0,7120.0,7220.0,6740.0,312014.0
121,2023.10.20,7120.0,700.0,7400.0,7690.0,6340.0,1132575.0
122,2023.10.19,7820.0,350.0,8050.0,8170.0,7710.0,190752.0
123,2023.10.18,8170.0,360.0,8530.0,8530.0,8110.0,188307.0
124,2023.10.17,8530.0,180.0,8580.0,8790.0,8440.0,136772.0
125,2023.10.16,8350.0,570.0,8830.0,8880.0,8300.0,196260.0
126,2023.10.13,8920.0,300.0,9220.0,9230.0,8760.0,120529.0
127,2023.10.12,9220.0,260.0,9090.0,9230.0,8980.0,84696.0
128,2023.10.11,8960.0,310.0,8710.0,9060.0,8710.0,99303.0
129,2023.10.10,8650.0,340.0,9010.0,9150.0,8600.0,202569.0
130,2023.10.06,8990.0,130.0,8730.0,9140.0,8700.0,127932.0
131,2023.10.05,8860.0,350.0,9210.0,9290.0,8860.0,238100.0
132,2023.10.04,9210.0,140.0,9400.0,11000.0,8870.0,1501582.0
133,2023.09.27,9350.0,180.0,8950.0,9490.0,8920.0,93661.0
134,2023.09.26,9170.0,130.0,9360.0,9550.0,9150.0,95090.0
135,2023.09.25,9300.0,590.0,9890.0,9890.0,9300.0,209580.0
136,2023.09.22,9890.0,400.0,10190.0,10250.0,9750.0,234534.0
137,2023.09.21,10290.0,130.0,10190.0,10960.0,10160.0,1044767.0
138,2023.09.20,10160.0,410.0,9760.0,10360.0,9510.0,380862.0
139,2023.09.19,9750.0,480.0,10240.0,10400.0,9740.0,365163.0
140,2023.09.18,10230.0,380.0,10500.0,10570.0,10160.0,258101.0
141,2023.09.15,10610.0,200.0,10980.0,11090.0,10610.0,258939.0
142,2023.09.14,10810.0,20.0,10790.0,11080.0,10620.0,190037.0
143,2023.09.13,10790.0,270.0,11000.0,11390.0,10520.0,434829.0
144,2023.09.12,11060.0,930.0,11870.0,12060.0,11060.0,596273.0
145,2023.09.11,11990.0,590.0,11350.0,12070.0,11030.0,952776.0
146,2023.09.08,11400.0,610.0,11910.0,11910.0,11360.0,615829.0
147,2023.09.07,12010.0,440.0,12330.0,12690.0,12010.0,1228298.0
148,2023.09.06,12450.0,550.0,11850.0,12530.0,11800.0,1647333.0
149,2023.09.05,11900.0,190.0,11970.0,12600.0,11570.0,1544893.0
150,2023.09.04,12090.0,450.0,11740.0,12410.0,11380.0,1710466.0
151,2023.09.01,11640.0,740.0,10900.0,13200.0,10900.0,9925283.0
152,2023.08.31,10900.0,440.0,10900.0,11440.0,10630.0,1705046.0
153,2023.08.30,10460.0,210.0,10700.0,10790.0,10380.0,336150.0
154,2023.08.29,10670.0,270.0,10370.0,10890.0,10310.0,578837.0
155,2023.08.28,10400.0,340.0,10910.0,10910.0,10330.0,534316.0
156,2023.08.25,10740.0,1000.0,11450.0,11510.0,10680.0,922429.0
157,2023.08.24,11740.0,70.0,11580.0,12130.0,11350.0,1000551.0
158,2023.08.23,11810.0,510.0,11180.0,12280.0,11160.0,1925721.0
159,2023.08.22,11300.0,210.0,11120.0,12300.0,11100.0,2245773.0
160,2023.08.21,11090.0,280.0,10740.0,11580.0,10710.0,1234409.0
161,2023.08.18,11370.0,2090.0,12770.0,13050.0,11320.0,1912840.0
162,2023.08.17,13460.0,1190.0,14030.0,14450.0,12830.0,2034476.0
163,2023.08.16,14650.0,1150.0,14300.0,15140.0,13580.0,6798494.0
164,2023.08.14,13500.0,930.0,14110.0,15210.0,13480.0,4971530.0
165,2023.08.11,14430.0,2710.0,12260.0,14880.0,11880.0,17029359.0
166,2023.08.10,11720.0,770.0,12100.0,12260.0,11310.0,2212297.0
167,2023.08.09,12490.0,110.0,12440.0,13190.0,12120.0,3002922.0
168,2023.08.08,12600.0,770.0,13650.0,15850.0,12320.0,13906515.0
169,2023.08.07,13370.0,2310.0,11300.0,14040.0,10850.0,24342944.0
170,2023.08.04,11060.0,2550.0,8840.0,11060.0,8660.0,14636692.0
171,2023.08.03,8510.0,610.0,8800.0,8890.0,8310.0,904014.0
172,2023.08.02,9120.0,300.0,9070.0,9350.0,8940.0,1724422.0
173,2023.08.01,8820.0,310.0,8970.0,9280.0,8630.0,1337366.0
174,2023.07.31,9130.0,1390.0,8090.0,9990.0,8000.0,7074415.0
175,2023.07.28,7740.0,120.0,7620.0,8010.0,7440.0,888295.0
176,2023.07.27,7620.0,130.0,7840.0,8000.0,7600.0,739012.0
177,2023.07.26,7750.0,1160.0,8920.0,8940.0,7490.0,1561354.0
178,2023.07.25,8910.0,230.0,9350.0,9790.0,8910.0,3754439.0
179,2023.07.24,9140.0,910.0,9990.0,10000.0,9000.0,3398577.0
180,2023.07.21,10050.0,300.0,10700.0,11250.0,9990.0,6392607.0
181,2023.07.20,10350.0,1350.0,21600.0,22000.0,10070.0,27240638.0
